"chemical.id","bottle.id","chemical.name","conc","plate","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"C844503","C844503","Germ Free",0,18032,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67
"C844503","C844503","Germ Free",1,18032,2.38,0,0,0,2.38,1.22,28.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.95,30.95
"C844503","C844503","Germ Free",0,18033,9.09,10,0,0,9.09,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,36.36
"C844503","C844503","Germ Free",1,18033,3.57,1.23,0,0,3.57,1.23,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,13.1
"C844503","C844503","Germ Free",0,18036,8.33,0,0,0,8.33,0,9.09,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,16.67,16.67
"C844503","C844503","Germ Free",1,18036,9.52,0,0,0,11.9,1.35,0,1.35,0,0,0,1.35,0,0,0,1.35,0,0,1.35,0,0,0,14.29,14.29
"C844503","C844503","Germ Free",0,18037,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33
"C844503","C844503","Germ Free",1,18037,9.52,0,0,0,13.1,5.48,2.74,5.48,1.37,1.37,0,5.48,0,0,4.11,2.74,0,0,2.74,0,0,0,17.86,17.86
