"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C844503","0","44;3;44;3","43;1;43;1","44;0;44;0","44;0;44;0","44;3;44;3","44;0;44;0","39;5;39;5","44;0;44;0","44;0;44;0","44;0;44;0","44;0;44;0","44;0;44;0","44;0;44;0","44;0;44;0","44;0;44;0","43;1;43;1","44;0;44;0","44;0;44;0","43;1;43;1","44;0;44;0","44;0;44;0","44;0;44;0","38;9;38;9","38;9;38;9"
"2","C844503","1","44;3;315;21","43;1;314;1","44;0;315;0","44;0;315;0","44;3;310;26","44;0;303;7","39;5;278;32","44;0;305;5","44;0;309;1","44;0;309;1","44;0;310;0","44;0;305;5","44;0;310;0","44;0;310;0","44;0;307;3","43;1;307;3","44;0;310;0","44;0;310;0","43;1;307;3","44;0;310;0","44;0;310;0","44;0;310;0","38;9;272;64","38;9;272;64"
