"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C844503","0",0.7553,1,1,1,0.7553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7553
"2","C844503","1",0.7872,1,1,1,0.7872,1,0.7662,1,1,1,1,1,1,1,1,0.7662,1,1,0.7662,1,1,1,0.7662,0.6873
